test,family,method,sample_unit,direction,effect_name,effect_estimate,effect_unit,statistic_name,statistic,raw_p,bh_rank,bh_q,note
prompt_effect_Baichuan-M3,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,6.000000000000001,points,Wilcoxon W,5.5,0.004896949924930728,11.0,0.006232481722639108,
prompt_effect_Kimi-K2.6,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,24.5,points,Wilcoxon W,34.0,1.8498248377738126e-08,4.0,6.474386932208345e-08,
prompt_effect_claude-opus-4-7default,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,37.5,points,Wilcoxon W,9.0,1.0319651295419464e-09,3.0,4.81583727119575e-09,
prompt_effect_claude-sonnet-4-6default,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,24.0,points,Wilcoxon W,40.5,2.36984938500352e-07,7.0,4.739698770007041e-07,
prompt_effect_deepseek-r1-0528,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,17.5,points,Wilcoxon W,28.0,1.2794909519750917e-06,9.0,1.9903192586279208e-06,
prompt_effect_deepseek-v4-flash,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,21.000000000000004,points,Wilcoxon W,25.0,6.89344800698627e-07,8.0,1.2063534012225971e-06,
prompt_effect_deepseek-v4-pro,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,11.0,points,Wilcoxon W,234.0,0.0026906362061516202,10.0,0.0037668906886122685,
prompt_effect_gemini-2.5-flash,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,4.500000000000001,points,Wilcoxon W,12.0,0.020136751550346346,12.0,0.023492876808737406,
prompt_effect_google_gemini-3.1-pro-preview,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,34.0,points,Wilcoxon W,19.5,6.606394582240262e-11,1.0,9.248952415136367e-10,
prompt_effect_gpt-5.4-2026-03-05,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,21.0,points,Wilcoxon W,49.5,2.2130924629869498e-07,6.0,4.739698770007041e-07,
prompt_effect_gpt-5.4-nano-2026-03-17,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,2.0,points,Wilcoxon W,3.5,0.10247043485974945,13.0,0.1103527760028071,
prompt_effect_gpt-5.5-2026-04-23,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,39.5,points,Wilcoxon W,80.0,2.2415791299458358e-10,2.0,1.569105390962085e-09,
prompt_effect_minimaxai-minimax-m2.7,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,2.4999999999999996,points,Wilcoxon W,24.0,0.19670560245894686,14.0,0.19670560245894686,
prompt_effect_z-ai_glm-5.1,intervention_14_model_paired,Wilcoxon paired item scores,paired benchmark item within model,two-sided,safety-minus-baseline normalised score,25.0,points,Wilcoxon W,66.0,8.779955566285583e-08,5.0,2.458387558559963e-07,
citation_spearman_polluted_rate,exploratory_citation_temporal_subgroup_regression,Spearman item-level baseline rate vs citations,benchmark item,two-sided,citation association with polluted_rate,0.22749490940164918,Spearman rho,Spearman rho,0.22749490940164918,0.022829168143975943,4.0,0.07419479646792182,
citation_spearman_recognised_rate,exploratory_citation_temporal_subgroup_regression,Spearman item-level baseline rate vs citations,benchmark item,two-sided,citation association with recognised_rate,0.0846212711075591,Spearman rho,Spearman rho,0.0846212711075591,0.4025495427645403,11.0,0.4757403687217295,
citation_spearman_neutral_count,exploratory_citation_temporal_subgroup_regression,Spearman item-level baseline rate vs citations,benchmark item,two-sided,citation association with neutral_count,-0.30765020109326174,Spearman rho,Spearman rho,-0.30765020109326174,0.0018475235129755535,1.0,0.024017805668682196,
citation_tertile_trend_polluted_rate,exploratory_citation_temporal_subgroup_regression,Spearman tertile rank vs item rate,benchmark item,two-sided,citation-tertile association with polluted_rate,0.15782954584138437,Spearman rho,Spearman rho,0.15782954584138437,0.11681134363756727,8.0,0.18981843341104682,
citation_tertile_trend_recognised_rate,exploratory_citation_temporal_subgroup_regression,Spearman tertile rank vs item rate,benchmark item,two-sided,citation-tertile association with recognised_rate,0.015028126857984207,Spearman rho,Spearman rho,0.015028126857984207,0.8820269224988707,13.0,0.8820269224988707,
high_tertile_top10_vs_bottom10_polluted_rate,exploratory_citation_temporal_subgroup_regression,Mann-Whitney U on item rates,benchmark item,two-sided,top-minus-bottom mean polluted_rate,0.25714285714285723,proportion,Mann-Whitney U_top,69.5,0.14098817241958542,9.0,0.20364958238384562,
high_tertile_top10_vs_bottom10_recognised_rate,exploratory_citation_temporal_subgroup_regression,Mann-Whitney U on item rates,benchmark item,two-sided,top-minus-bottom mean recognised_rate,0.2,proportion,Mann-Whitney U_top,77.5,0.016513991653451136,2.0,0.07419479646792182,
temporal_spearman_polluted_rate,exploratory_citation_temporal_subgroup_regression,Spearman years since retraction vs item rate,benchmark item,two-sided,temporal association with polluted_rate,-0.22873986852387973,Spearman rho,Spearman rho,-0.22873986852387973,0.022074794079028216,3.0,0.07419479646792182,
temporal_spearman_recognised_rate,exploratory_citation_temporal_subgroup_regression,Spearman years since retraction vs item rate,benchmark item,two-sided,temporal association with recognised_rate,0.1596195532972693,Spearman rho,Spearman rho,0.1596195532972693,0.11266760281156282,7.0,0.18981843341104682,
temporal_before2021_vs_2021plus_polluted_rate,exploratory_citation_temporal_subgroup_regression,Mann-Whitney U on item rates,benchmark item,two-sided,pre-2021-minus-2021+ mean polluted_rate,-0.0724795245343191,proportion,Mann-Whitney U_pre-2021,856.0,0.31137070858100135,10.0,0.40478192115530176,
temporal_before2021_vs_2021plus_recognised_rate,exploratory_citation_temporal_subgroup_regression,Mann-Whitney U on item rates,benchmark item,two-sided,pre-2021-minus-2021+ mean recognised_rate,0.05330869029499166,proportion,Mann-Whitney U_pre-2021,1198.0,0.03948585409872382,5.0,0.10266322065668194,
ols_years_coefficient_polluted_rate,exploratory_citation_temporal_subgroup_regression,OLS with log citations and locked theme fixed effects,benchmark item,two-sided,OLS beta for years_since_retraction,-0.009327694006416073,outcome-rate change per year,OLS t,-1.800992164633336,0.07533614292038522,6.0,0.16322830966083465,n=100
ols_years_coefficient_recognised_rate,exploratory_citation_temporal_subgroup_regression,OLS with log citations and locked theme fixed effects,benchmark item,two-sided,OLS beta for years_since_retraction,0.0005378337080745105,outcome-rate change per year,OLS t,0.21060114801903926,0.8337146872425482,12.0,0.8820269224988707,n=100
