item_id,study_title,theme,theme_assignment_method
1,Influence of different volume therapies on platelet function in the critically ill,Volume therapy & colloids,locked 100-item mapping
2,Efficacy and safety of mycophenolate mofetil in patients with active moderate-to-severe Graves’ orbitopathy,Autoimmune & inflammatory,locked 100-item mapping
3,Low-molecular weight heparin in patients with recurrent early miscarriages of unknown aetiology,Other,locked 100-item mapping
4,Preoperative plasmapheresis in patients undergoing cardiac surgery procedures,Other,locked 100-item mapping
5,"Safety and efficacy of tramadol in the treatment of premature ejaculation: a double-blind, placebo-controlled, fixed-dose, randomized study",Other,locked 100-item mapping
6,Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,Pregnancy & reproductive,locked 100-item mapping
7,"Vitamin D supplementation affects serum high-sensitivity C-reactive protein, insulin resistance, and biomarkers of oxidative stress in pregnant women",Vitamin D supplementation,locked 100-item mapping
8,"Vitamin D supplementation affects the beck depression inventory, insulin resistance, and biomarkers of oxidative stress in patients with major depressive disorder: a randomized, controlled clinical trial",Vitamin D supplementation,locked 100-item mapping
9,"Effects of vitamin D supplementation on glucose metabolism, lipid concentrations, inflammation, and oxidative stress in gestational diabetes: a double-blind randomized controlled clinical trial",Vitamin D supplementation,locked 100-item mapping
10,"Magnesium supplementation affects metabolic status and pregnancy outcomes in gestational diabetes: a randomized, double-blind, placebo-controlled trial",Pregnancy & reproductive,locked 100-item mapping
11,Long-term follow-up after sleeve gastrectomy versus Roux-en-Y gastric bypass versus one-anastomosis gastric bypass: a prospective randomized comparative study of weight loss and remission of comorbidities,Other,locked 100-item mapping
12,The influence of volume therapy and pentoxifylline infusion on circulating adhesion molecules in trauma patients,Volume therapy & colloids,locked 100-item mapping
13,Influence of different intravascular volume therapies on platelet function in patients undergoing cardiopulmonary bypass,Volume therapy & colloids,locked 100-item mapping
14,The influence of different intravascular volume replacement regimens on renal function in the elderly,Volume therapy & colloids,locked 100-item mapping
15,Clomiphene citrate or letrozole for ovulation induction in women with polycystic ovarian syndrome: a prospective randomized trial,PCOS & ovulation induction,locked 100-item mapping
16,Letrozole versus combined metformin and clomiphene citrate for ovulation induction in clomiphene-resistant women with polycystic ovary syndrome: a randomized controlled trial,PCOS & ovulation induction,locked 100-item mapping
17,Does the type of volume therapy influence endothelial-related coagulation in the critically ill?,Volume therapy & colloids,locked 100-item mapping
18,Volume replacement with hydroxyethyl starch solution in children,Volume therapy & colloids,locked 100-item mapping
19,"Effect of dexmedetomidine as adjuvant in ropivacaine-induced supraclavicular brachial plexus block: a prospective, double-blinded and randomized controlled study",Perioperative pain & anesthesia,locked 100-item mapping
20,"Individualized homeopathic treatment and fluoxetine for moderate to severe depression in peri- and postmenopausal women (HOMDEP-MENOP Study): a randomized, double-dummy, double-blind, placebo-controlled trial",Depression & psychiatric,locked 100-item mapping
21,Cardiac stem cells in patients with ischaemic cardiomyopathy (SCIPIO): initial results of a randomised phase 1 trial,Cardiovascular & hypertension,locked 100-item mapping
22,The Effect of vitamin D supplementation on inflammatory and hemostatic markers and disease activity in patients with systemic lupus erythematosus: a randomized placebo-controlled trial,Vitamin D supplementation,locked 100-item mapping
23,Effectiveness of complementary pain treatment for women with deep endometriosis through transcutaneous electrical nerve stimulation (TENS): randomized controlled trial,Autoimmune & inflammatory,locked 100-item mapping
24,Comparison between valsartan and amlodipine regarding cardiovascular morbidity and mortality in hypertensive patients with glucose intolerance: NAGOYA HEART study,Cardiovascular & hypertension,locked 100-item mapping
25,Menatetrenone and vitamin D2 with calcium supplements prevent nonvertebral fracture in elderly women with Alzheimer’s disease,Vitamin D supplementation,locked 100-item mapping
26,Low-dose vitamin D prevents muscular atrophy and reduces falls and hip fractures in women after stroke: a randomized controlled trial,Vitamin D supplementation,locked 100-item mapping
27,Amelioration of osteopenia and hypovitaminosis D by 1α-hydroxyvitamin D3 in elderly patients with Parkinson’s disease,Vitamin D supplementation,locked 100-item mapping
28,Effects of decontamination of the oropharynx and intestinal tract on antibiotic resistance in ICUs: a randomized clinical trial,Critical care & infection,locked 100-item mapping
29,Risedronate therapy for prevention of hip fracture after stroke in elderly women,Musculoskeletal & fracture,locked 100-item mapping
30,Pain management after total knee arthroplasty using a multimodal approach,Musculoskeletal & fracture,locked 100-item mapping
31,Effect of folate and mecobalamin on hip fractures in patients with stroke: a randomized controlled trial,Musculoskeletal & fracture,locked 100-item mapping
32,Nuts as a replacement for carbohydrates in the diabetic diet,Diabetes & metabolic,locked 100-item mapping
33,Effect of vitamin and trace-element supplementation on immune responses and infection in elderly subjects,Other,locked 100-item mapping
34,Effect of perindopril on large artery stiffness and aortic root diameter in patients with Marfan syndrome: a randomized controlled trial,Cardiovascular & hypertension,locked 100-item mapping
35,The effects of albumin versus hydroxyethyl starch solution on cardiorespiratory and circulatory variables in critically ill patients,Volume therapy & colloids,locked 100-item mapping
36,"A randomized, double-blind, placebo-controlled study assessing the anti-inflammatory effects of ketamine in cardiac surgical patients",Perioperative pain & anesthesia,locked 100-item mapping
37,"Manuka honey vs. hydrogel - a prospective, open label, multicentre, randomised controlled trial to compare desloughing efficacy and healing outcomes in venous ulcers",Other,locked 100-item mapping
38,Influence of different volume therapy regimens on regulators of the circulation in the critically ill,Volume therapy & colloids,locked 100-item mapping
39,Volume therapy in the critically ill: is there a difference?,Volume therapy & colloids,locked 100-item mapping
40,Colorectal infraperitoneal anastomosis: the effects of perioperative supplemental oxygen administration on the anastomotic dehiscence,Gastrointestinal,locked 100-item mapping
41,CPAP for the metabolic syndrome in patients with obstructive sleep apnea,Diabetes & metabolic,locked 100-item mapping
42,Physical activity within a CBT intervention improves coping with pain in traumatized refugees: results of a randomized controlled design,Other,locked 100-item mapping
43,Granisetron/dexamethasone combination for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,PONV & perioperative antiemetics,locked 100-item mapping
44,Ramosetron vs granisetron for the prevention of postoperative nausea and vomiting after laparoscopic cholecystectomy,PONV & perioperative antiemetics,locked 100-item mapping
45,Effects of valsartan on morbidity and mortality in uncontrolled hypertensive patients with high cardiovascular risks: KYOTO heart study,Cardiovascular & hypertension,locked 100-item mapping
46,Granisetron-dexamethasone combination reduces postoperative nausea and vomiting,PONV & perioperative antiemetics,locked 100-item mapping
47,Optimal anti-emetic dose of granisetron for preventing postoperative nausea and vomiting,PONV & perioperative antiemetics,locked 100-item mapping
48,The efficacy of oral clonidine premedication in the prevention of postoperative vomiting in children following strabismus surgery,Perioperative pain & anesthesia,locked 100-item mapping
49,The effects of dexamethasone on antiemetics in female patients undergoing gynecologic surgery,PONV & perioperative antiemetics,locked 100-item mapping
50,Outcome of short proximal femoral nail antirotation and dynamic hip screw for fixation of unstable trochanteric fractures,Musculoskeletal & fracture,locked 100-item mapping
51,Long-term survival results of a randomized trial comparing gemcitabine/cisplatin and methotrexate/vinblastine/doxorubicin/cisplatin in patients with locally advanced and metastatic bladder cancer,Other,locked 100-item mapping
52,Influence of volume therapy with a modern hydroxyethylstarch preparation on kidney function in cardiac surgery patients with compromised renal function: a comparison with human albumin,Volume therapy & colloids,locked 100-item mapping
53,Influence of a new hydroxyethylstarch preparation (HES 130/0.4) on coagulation in cardiac surgical patients,Volume therapy & colloids,locked 100-item mapping
54,"Valsartan in a Japanese population with hypertension and other cardiovascular disease (Jikei Heart Study): a randomised, open-label, blinded endpoint morbidity-mortality study",Cardiovascular & hypertension,locked 100-item mapping
55,"A comparison of nefopam and clonidine for the prevention of postanaesthetic shivering: a comparative, double-blind and placebo-controlled dose-ranging study",Perioperative pain & anesthesia,locked 100-item mapping
56,Nefopam and clonidine in the prevention of postanaesthetic shivering,Perioperative pain & anesthesia,locked 100-item mapping
57,Influence of two different volume replacement regimens on renal function in elderly patients undergoing cardiac surgery: comparison of a new starch preparation with gelatin,Volume therapy & colloids,locked 100-item mapping
58,Bispectral index in patients with target-controlled or manually-controlled infusion of propofol,Perioperative pain & anesthesia,locked 100-item mapping
59,"Is albumin administration in hypoalbuminemic elderly cardiac surgery patients of benefit with regard to inflammation, endothelial activation, and long-term kidney function?",Volume therapy & colloids,locked 100-item mapping
60,Cardiopulmonary bypass priming using a high dose of a balanced hydroxyethyl starch versus an albumin-based priming strategy,Volume therapy & colloids,locked 100-item mapping
61,Tai chi improves physical function in older Chinese women with knee osteoarthritis,Musculoskeletal & fracture,locked 100-item mapping
