model,condition,source,route,model_id,start_end,settings,evidence_level,missing
Baichuan-M3,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_Baichuan-M3_baseline.json；与 provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset/benchmark_output_Baichuan-M3_baseline.json 字节一致,"local Python → APIHub OpenAI-compatible relay（https://APIHUB.sci.mom）→ Baichuan-M3 service/deployment；relay endpoint confirmed by author; exact upstream provider endpoint/deployment and immutable backend snapshot not recoverable; generation code and canonical text match available, no HTTP/run log",Baichuan-M3（source JSON 与请求代码）；exact upstream deployment identifier and immutable backend snapshot unknown,generation start/end unknown；canonical source mtime=2026-06-21T13:25:43Z（仅文件mtime，非运行时间）,max_tokens留空/未设置（作者于2026-09-08确认：未设置显式输出上限；请求字段省略还是JSON null的序列化未核实；provider默认值与限制仍适用，不代表无限输出）；temperature=0、seed=123（既有代码审计证据，非本次作者新确认）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：流式拼接content与reasoning_content，优先content，否则reasoning；不剥离answer:标签；实际token usage unknown,作者确认 APIHub relay endpoint + 2026-09-08作者确认max_tokens留空/未设置 + 来源JSON + 既有生成代码审计 + 字节一致性 + 仅文件mtime；无generation HTTP/run log；exact upstream provider endpoint/deployment unknown；旧输出上限及条件追问仅保留为历史代码来源，不证明执行，见experiment_metadata_code_audit_v3.md同日更正,generation start UTC; generation end UTC; exact upstream provider endpoint/deployment mapping; 不可变provider snapshot; temperature/seed及system prompt的运行级确认; max_tokens请求序列化（省略字段或JSON null）; 实际token usage; provider侧web/retrieval/tools状态
Baichuan-M3,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_Baichuan-M3_safety.json；与 provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset/benchmark_output_Baichuan-M3_safety.json 字节一致,"local Python → APIHub OpenAI-compatible relay（https://APIHUB.sci.mom）→ Baichuan-M3 service/deployment；relay endpoint confirmed by author; exact upstream provider endpoint/deployment and immutable backend snapshot not recoverable; generation code and canonical text match available, no HTTP/run log",Baichuan-M3（source JSON 与请求代码）；exact upstream deployment identifier and immutable backend snapshot unknown,generation start/end unknown；canonical source mtime=2026-06-21T13:25:43Z（仅文件mtime，非运行时间）,max_tokens留空/未设置（作者于2026-09-08确认：未设置显式输出上限；请求字段省略还是JSON null的序列化未核实；provider默认值与限制仍适用，不代表无限输出）；temperature=0、seed=123（既有代码审计证据，非本次作者新确认）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：流式拼接content与reasoning_content，优先content，否则reasoning；不剥离answer:标签；实际token usage unknown,作者确认 APIHub relay endpoint + 2026-09-08作者确认max_tokens留空/未设置 + 来源JSON + 既有生成代码审计 + 字节一致性 + 仅文件mtime；无generation HTTP/run log；exact upstream provider endpoint/deployment unknown；旧输出上限及条件追问仅保留为历史代码来源，不证明执行，见experiment_metadata_code_audit_v3.md同日更正,generation start UTC; generation end UTC; exact upstream provider endpoint/deployment mapping; 不可变provider snapshot; temperature/seed及system prompt的运行级确认; max_tokens请求序列化（省略字段或JSON null）; 实际token usage; provider侧web/retrieval/tools状态
Kimi-K2.6,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_Kimi-K2.6-1_baseline.json,local Python → APIHub OpenAI-compatible relay → Azure（https://target-vector.services.ai.azure.com）；deployment=Kimi K2.6；endpoint/deployment confirmed by author,Azure deployment `Kimi K2.6`；canonical label=Kimi-K2.6；不可变backend snapshot unknown,generation start/end unknown；output mtime=2026-08-12T05:29:41.071922Z（仅文件mtime）,temperature=0、seed=123、max_tokens参数省略（代码声明；不是“无限”）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签,作者确认 Azure endpoint/deployment + 输出JSON + 代码声明 + 仅文件mtime；无HTTP/run-log,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的运行级确认; provider侧web/retrieval/tools状态
Kimi-K2.6,safety,provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_no_max_tokens/benchmark_output_Kimi-K2.6-1_safety.json,local Python → APIHub OpenAI-compatible relay → Azure（https://target-vector.services.ai.azure.com）；deployment=Kimi K2.6；endpoint/deployment confirmed by author,Azure deployment `Kimi K2.6`；canonical label=Kimi-K2.6；不可变backend snapshot unknown,generation start/end unknown；output mtime=2026-08-12T06:59:15.249529Z（仅文件mtime）,temperature=0、seed=123、max_tokens参数省略（代码声明；不是“无限”）；system prompt：请求代码无，仅user message；web/retrieval/tools：请求体未发送相关字段，provider侧状态unknown；final extraction：choices[0].message.content，空时退回reasoning_content，不解析answer:标签,作者确认 Azure endpoint/deployment + 输出JSON + 代码声明 + 仅文件mtime；无HTTP/run-log,generation start UTC; generation end UTC; 不可变provider snapshot; 参数与system prompt的运行级确认; provider侧web/retrieval/tools状态
claude-opus-4-7default,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_anthropic_claude-opus-4-7default_baseline.json（原始96项） + provenance://project-source/data/v2/trojan sensitivity dataset/answer_generation/dataset_regenerated_part2/answer_generation_rerun_part2_anthropic_claude-opus-4-7_default_baseline.json（IDs 12/18/84/94）,Kaggle Benchmarks kbench.llm；4项有generation run-log，其余96项仅原始source JSON/代码路径,anthropic/claude-opus-4-7@default（source JSON及rerun modelVersion.slug）；@default非不可变snapshot,IDs 12/18/84/94 run-log: 2026-08-12T14:50:43.855516Z—2026-08-12T14:51:35.766489Z；其余96项generation unknown；base source mtime=2026-06-21T13:25:43Z（仅mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,4项：generation run-log + 代码；96项：来源JSON + 代码声明 + 仅mtime,其余96项generation start/end UTC; 不可变provider snapshot; Kaggle隐藏system prompt是否存在; Kaggle后台web/retrieval/tools开关; 实际backend采样默认值/内置工具状态
claude-opus-4-7default,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_anthropic_claude-opus-4-7default_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,anthropic/claude-opus-4-7@default（source JSON）；@default非不可变snapshot,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
claude-sonnet-4-6default,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_anthropic_claude-sonnet-4-6default_baseline.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,anthropic/claude-sonnet-4-6@default（source JSON）；@default非不可变snapshot,generation start/end unknown；source mtime=2026-06-21T13:25:43Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
claude-sonnet-4-6default,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_anthropic_claude-sonnet-4-6default_safety.json,Kaggle Benchmarks kbench.llm（reference.py代码路径；无原始generation run-log）,anthropic/claude-sonnet-4-6@default（source JSON）；@default非不可变snapshot,generation start/end unknown；source mtime=2026-06-21T13:25:42Z（仅文件mtime）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,来源JSON + 代码声明 + 仅文件mtime；无generation run-log,generation start UTC; generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 实际backend采样默认值/内置工具状态
deepseek-r1-0528,baseline,provenance://project-source/data/v2/trojan sensitivity dataset/dataset_without_thinking/benchmark_output_deepseek-ai_deepseek-r1-0528_baseline.json；父源=provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_deepseek-ai_deepseek-r1-0528_baseline.json,原始生成：Kaggle Benchmarks kbench.llm代码路径（无generation run-log）；随后local后处理删除thinking块,deepseek-ai/deepseek-r1-0528（source/cleaning_manifest）；不可变snapshot unknown,原始generation start/end unknown；cleaned file mtime=2026-08-12T15:49:31.896910Z（仅文件mtime，非生成时间）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,source JSON + cleaning_manifest（100项均变更）+ 代码声明 + 仅文件mtime；无原始generation run-log,原始generation start UTC; 原始generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 清洗执行start/end UTC; 实际backend采样默认值/内置工具状态
deepseek-r1-0528,safety,provenance://project-source/data/v2/trojan sensitivity dataset/dataset_without_thinking/benchmark_output_deepseek-ai_deepseek-r1-0528_safety.json；父源=provenance://project-source/data/v2/trojan sensitivity dataset/dataset/benchmark_output_deepseek-ai_deepseek-r1-0528_safety.json,原始生成：Kaggle Benchmarks kbench.llm代码路径（无generation run-log）；随后local后处理删除thinking块,deepseek-ai/deepseek-r1-0528（source/cleaning_manifest）；不可变snapshot unknown,原始generation start/end unknown；cleaned file mtime=2026-08-12T15:49:31.745754Z（仅文件mtime，非生成时间）,`llm.prompt(prompt)` under pinned Kaggle Benchmarks ab291417；wrapper default seed=0但不支持seed的backend会移除；Model Proxy不转发temperature；未提供max-token、自定义system prompt或tool definitions；provider-side built-ins unknown；final extraction按对应Kaggle task保存的user-visible response,source JSON + cleaning_manifest（100项均变更）+ 代码声明 + 仅文件mtime；无原始generation run-log,原始generation start UTC; 原始generation end UTC; 不可变provider snapshot; web/retrieval/tools运行级确认; 清洗执行start/end UTC; 实际backend采样默认值/内置工具状态
