item_id,study_title,polluted_count,recognised_count,neutral_count,model_count,polluted_rate,recognised_rate,Title_New,citations,retraction_date_meta,theme,theme_assignment_method,Condition (disease),years_since_retraction
1,Influence of different volume therapies on platelet function in the critically ill,4,1,9,14,0.2857142857142857,0.07142857142857142,Influence of different volume therapies on platelet function in the critically ill,98,2023-04-11,Volume therapy & colloids,locked 100-item mapping,Platelet function in the critically ill,3.3921971252566734
2,Efficacy and safety of mycophenolate mofetil in patients with active moderate-to-severe Graves’ orbitopathy,4,0,10,14,0.2857142857142857,0.0,Efficacy and safety of mycophenolate mofetil in patients with active moderate-to-severe Graves¡¯ orbitopathy,94,2023-02-24,Autoimmune & inflammatory,locked 100-item mapping,Graves' orbitopathy,3.5181382614647503
3,Low-molecular weight heparin in patients with recurrent early miscarriages of unknown aetiology,0,0,14,14,0.0,0.0,Low-molecular weight heparin in patients with recurrent early miscarriages of unknown aetiology,187,2022-11-11,Other,locked 100-item mapping,Recurrent early miscarriages of unknown aetiology,3.805612594113621
4,Preoperative plasmapheresis in patients undergoing cardiac surgery procedures,2,1,11,14,0.14285714285714285,0.07142857142857142,Preoperative plasmapheresis in patients undergoing cardiac surgery procedures,90,2022-10-13,Other,locked 100-item mapping,Cardiac surgery procedures,3.885010266940452
5,"Safety and efficacy of tramadol in the treatment of premature ejaculation: a double-blind, placebo-controlled, fixed-dose, randomized study",5,0,9,14,0.35714285714285715,0.0,"Safety and efficacy of tramadol in the treatment of premature ejaculation: a double-blind, placebo-controlled, fixed-dose, randomized study",161,2022-03-01,Other,locked 100-item mapping,Premature ejaculation,4.503764544832307
6,Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,1,0,13,14,0.07142857142857142,0.0,Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,90,2021-07-27,Pregnancy & reproductive,locked 100-item mapping,Preterm labor in asymptomatic twin pregnancies with sonographic short cervix,5.0978781656399725
7,"Vitamin D supplementation affects serum high-sensitivity C-reactive protein, insulin resistance, and biomarkers of oxidative stress in pregnant women",8,0,6,14,0.5714285714285714,0.0,"Vitamin D supplementation affects serum high-sensitivity C-reactive protein, insulin resistance, and biomarkers of oxidative stress in pregnant women",188,2021-05-11,Vitamin D supplementation,locked 100-item mapping,"Serum high-sensitivity c-reactive protein, insulin resistance, and biomarkers of oxidative stress in pregnant women",5.308692676249144
8,"Vitamin D supplementation affects the beck depression inventory, insulin resistance, and biomarkers of oxidative stress in patients with major depressive disorder: a randomized, controlled clinical trial",9,0,5,14,0.6428571428571429,0.0,"Vitamin D supplementation affects the beck depression inventory, insulin resistance, and biomarkers of oxidative stress in patients with major depressive disorder: a randomized, controlled clinical trial",224,2021-05-11,Vitamin D supplementation,locked 100-item mapping,Major depressive disorder,5.308692676249144
9,"Effects of vitamin D supplementation on glucose metabolism, lipid concentrations, inflammation, and oxidative stress in gestational diabetes: a double-blind randomized controlled clinical trial",9,0,5,14,0.6428571428571429,0.0,"Effects of vitamin D supplementation on glucose metabolism, lipid concentrations, inflammation, and oxidative stress in gestational diabetes: a double-blind randomized controlled clinical trial",289,2021-05-08,Vitamin D supplementation,locked 100-item mapping,Gestational diabetes,5.316906228610541
10,"Magnesium supplementation affects metabolic status and pregnancy outcomes in gestational diabetes: a randomized, double-blind, placebo-controlled trial",9,0,5,14,0.6428571428571429,0.0,"Magnesium supplementation affects metabolic status and pregnancy outcomes in gestational diabetes: a randomized, double-blind, placebo-controlled trial",91,2021-05-08,Pregnancy & reproductive,locked 100-item mapping,Gestational diabetes,5.316906228610541
11,Long-term follow-up after sleeve gastrectomy versus Roux-en-Y gastric bypass versus one-anastomosis gastric bypass: a prospective randomized comparative study of weight loss and remission of comorbidities,0,0,14,14,0.0,0.0,Long-term follow-up after sleeve gastrectomy versus Roux-en-Y gastric bypass versus one-anastomosis gastric bypass: a prospective randomized comparative study of weight loss and remission of comorbidities,134,2021-01-16,Other,locked 100-item mapping,Sleeve gastrectomy versus?roux-en-y gastric bypass versus?one-anastomosis gastric bypass,5.623545516769336
12,The influence of volume therapy and pentoxifylline infusion on circulating adhesion molecules in trauma patients,5,2,7,14,0.35714285714285715,0.14285714285714285,The influence of volume therapy and pentoxifylline infusion on circulating adhesion molecules in trauma patients,69,2021-01-14,Volume therapy & colloids,locked 100-item mapping,Trauma patients,5.6290212183436
13,Influence of different intravascular volume therapies on platelet function in patients undergoing cardiopulmonary bypass,1,0,13,14,0.07142857142857142,0.0,Influence of different intravascular volume therapies on platelet function in patients undergoing cardiopulmonary bypass,173,2020-11-01,Volume therapy & colloids,locked 100-item mapping,Platelet function in patients undergoing cardiopulmonary bypass,5.831622176591376
14,The influence of different intravascular volume replacement regimens on renal function in the elderly,0,1,13,14,0.0,0.07142857142857142,The influence of different intravascular volume replacement regimens on renal function in the elderly,119,2020-11-01,Volume therapy & colloids,locked 100-item mapping,Renal function,5.831622176591376
15,Clomiphene citrate or letrozole for ovulation induction in women with polycystic ovarian syndrome: a prospective randomized trial,0,0,14,14,0.0,0.0,Clomiphene citrate or letrozole for ovulation induction in women with polycystic ovarian syndrome: a prospective randomized trial,265,2020-09-08,PCOS & ovulation induction,locked 100-item mapping,Polycystic ovary syndrome,5.979466119096509
16,Letrozole versus combined metformin and clomiphene citrate for ovulation induction in clomiphene-resistant women with polycystic ovary syndrome: a randomized controlled trial,9,0,5,14,0.6428571428571429,0.0,Letrozole versus combined metformin and clomiphene citrate for ovulation induction in clomiphene-resistant women with polycystic ovary syndrome: a randomized controlled trial,105,2020-09-08,PCOS & ovulation induction,locked 100-item mapping,Clomiphene-resistant women with polycystic ovary syndrome,5.979466119096509
17,Does the type of volume therapy influence endothelial-related coagulation in the critically ill?,1,2,11,14,0.07142857142857142,0.14285714285714285,Does the type of volume therapy influence endothelial-related coagulation in the critically ill?,71,2020-09-01,Volume therapy & colloids,locked 100-item mapping,Critically ill,5.9986310746064335
18,Volume replacement with hydroxyethyl starch solution in children,1,1,12,14,0.07142857142857142,0.07142857142857142,Volume replacement with hydroxyethyl starch solution in children,88,2020-09-01,Volume therapy & colloids,locked 100-item mapping,Cardiac surgery,5.9986310746064335
19,"Effect of dexmedetomidine as adjuvant in ropivacaine-induced supraclavicular brachial plexus block: a prospective, double-blinded and randomized controlled study",2,0,12,14,0.14285714285714285,0.0,"Effect of dexmedetomidine as adjuvant in ropivacaine-induced supraclavicular brachial plexus block: a prospective, double-blinded and randomized controlled study",97,2020-05-30,Perioperative pain & anesthesia,locked 100-item mapping,Supraclavicular brachial plexus block,6.2559890485968515
20,"Individualized homeopathic treatment and fluoxetine for moderate to severe depression in peri- and postmenopausal women (HOMDEP-MENOP Study): a randomized, double-dummy, double-blind, placebo-controlled trial",7,0,7,14,0.5,0.0,"Individualized homeopathic treatment and fluoxetine for moderate to severe depression in peri- and postmenopausal women (HOMDEP-MENOP Study): a randomized, double-dummy, double-blind, placebo-controlled trial",108,2020-04-23,Depression & psychiatric,locked 100-item mapping,Moderate to severe depression in peri- and postmenopausal women,6.357289527720739
21,Cardiac stem cells in patients with ischaemic cardiomyopathy (SCIPIO): initial results of a randomised phase 1 trial,3,11,0,14,0.21428571428571427,0.7857142857142857,Cardiac stem cells in patients with ischaemic cardiomyopathy (SCIPIO): initial results of a randomised phase 1 trial,1690,2019-03-14,Cardiovascular & hypertension,locked 100-item mapping,Ischaemic cardiomyopathy,7.468856947296373
22,The Effect of vitamin D supplementation on inflammatory and hemostatic markers and disease activity in patients with systemic lupus erythematosus: a randomized placebo-controlled trial,10,0,4,14,0.7142857142857143,0.0,The Effect of vitamin D supplementation on inflammatory and hemostatic markers and disease activity in patients with systemic lupus erythematosus: a randomized placebo-controlled trial,265,2018-12-01,Vitamin D supplementation,locked 100-item mapping,Systemic lupus erythematosus,7.750855578370979
23,Effectiveness of complementary pain treatment for women with deep endometriosis through transcutaneous electrical nerve stimulation (TENS): randomized controlled trial,7,0,7,14,0.5,0.0,Effectiveness of complementary pain treatment for women with deep endometriosis through transcutaneous electrical nerve stimulation (TENS): randomized controlled trial,72,2018-11-16,Autoimmune & inflammatory,locked 100-item mapping,Deep endometriosis,7.79192334017796
24,Comparison between valsartan and amlodipine regarding cardiovascular morbidity and mortality in hypertensive patients with glucose intolerance: NAGOYA HEART study,3,0,11,14,0.21428571428571427,0.0,Comparison between valsartan and amlodipine regarding cardiovascular morbidity and mortality in hypertensive patients with glucose intolerance: NAGOYA HEART study,72,2018-08-08,Cardiovascular & hypertension,locked 100-item mapping,Hypertensive patients with glucose intolerance,8.06570841889117
25,Menatetrenone and vitamin D2 with calcium supplements prevent nonvertebral fracture in elderly women with Alzheimer’s disease,7,3,4,14,0.5,0.21428571428571427,Menatetrenone and vitamin D2 with calcium supplements prevent nonvertebral fracture in elderly women with Alzheimer¡¯s disease,84,2017-11-14,Vitamin D supplementation,locked 100-item mapping,Alzheimer¡¯s disease,8.796714579055442
