rank,model,condition,n,polluted,neutral,recognised,polluted_rate,neutral_rate,recognised_rate,normalised_score,antipollution_rate,polluted_ci_low,polluted_ci_high,neutral_ci_low,neutral_ci_high,recognised_ci_low,recognised_ci_high,normalised_ci_low,normalised_ci_high,proportion_ci_method,rerun_groups
1,gpt-5.4-nano-2026-03-17,baseline,100,8,92,0,0.08,0.92,0.0,46.0,0.0,0.041093461484380624,0.14998107700948735,0.86,0.97,0.0,0.03699349820698568,43.0,48.5,two-sided Wilson,0
2,Baichuan-M3,baseline,100,10,90,0,0.1,0.9,0.0,45.0,0.0,0.0552291370606751,0.17436566150491345,0.84,0.96,0.0,0.03699349820698568,42.0,48.0,two-sided Wilson,0
3,gemini-2.5-flash,baseline,100,11,88,1,0.11,0.88,0.01,45.0,0.08333333333333333,0.06254196357064568,0.18631296503080313,0.81,0.94,0.0017674320641406505,0.054486196178705315,41.5,48.0,two-sided Wilson,0
4,z-ai_glm-5.1,baseline,100,26,62,12,0.26,0.62,0.12,43.0,0.3157894736842105,0.18404698464748132,0.3537098944918718,0.52,0.71,0.06999406437019488,0.19812099426711421,37.0,49.0,two-sided Wilson,100
5,minimaxai-minimax-m2.7,baseline,100,16,83,1,0.16,0.83,0.01,42.5,0.058823529411764705,0.10095288488804782,0.24420269389270244,0.75,0.9,0.0017674320641406505,0.054486196178705315,38.5,46.0,two-sided Wilson,0
6,google_gemini-3.1-pro-preview,baseline,100,27,65,8,0.27,0.65,0.08,40.5,0.22857142857142856,0.1926958414957634,0.36432116767944994,0.56,0.74,0.041093461484380624,0.14998107700948735,35.0,46.0,two-sided Wilson,1
7,Kimi-K2.6,baseline,100,28,66,6,0.28,0.66,0.06,39.0,0.17647058823529413,0.20139685211186212,0.3748802870992116,0.56,0.75,0.027786123963188192,0.1247681544589592,34.0,44.5,two-sided Wilson,100
8,deepseek-v4-flash,baseline,100,29,68,3,0.29,0.68,0.03,37.0,0.09375,0.2101483574912227,0.3853889117557111,0.59,0.77,0.010254524024038925,0.0845193642905276,32.0,42.0,two-sided Wilson,0
9,deepseek-r1-0528,baseline,100,30,70,0,0.3,0.7,0.0,35.0,0.0,0.2189488529493276,0.3958485463334666,0.61,0.79,0.0,0.03699349820698568,30.5,39.5,two-sided Wilson,100
10,gpt-5.5-2026-04-23,baseline,100,45,40,15,0.45,0.4,0.15,35.0,0.25,0.3561453797951198,0.5475539700255787,0.3,0.5,0.0930598528365663,0.23283559590832364,28.000000000000004,42.0,two-sided Wilson,0
11,deepseek-v4-pro,baseline,100,36,59,5,0.36,0.59,0.05,34.5,0.12195121951219512,0.2727122040140433,0.4576459754839126,0.49,0.69,0.02154367915436796,0.11175046923191913,29.000000000000004,40.0,two-sided Wilson,100
12,claude-sonnet-4-6default,baseline,100,41,51,8,0.41,0.51,0.08,33.5,0.16326530612244897,0.3186731302113651,0.5079856994658921,0.41,0.61,0.041093461484380624,0.14998107700948735,27.500000000000004,39.5,two-sided Wilson,0
13,claude-opus-4-7default,baseline,100,50,38,12,0.5,0.38,0.12,31.0,0.1935483870967742,0.4038315303659956,0.5961684696340044,0.28,0.47,0.06999406437019488,0.19812099426711421,24.0,38.0,two-sided Wilson,4
14,gpt-5.4-2026-03-05,baseline,100,43,55,2,0.43,0.55,0.02,29.500000000000004,0.044444444444444446,0.33733298524110106,0.5278461045078768,0.45,0.65,0.00550196755016235,0.07001179072854388,24.0,34.5,two-sided Wilson,0
