item_id,study_title,retraction_context,cause_category,primary_retraction_cause,republication_status,post_retraction_reanalysis,replacement_doi,strategy_category
1,Influence of different volume therapies on platelet function in the critically ill,"The retraction is based on an institutional investigation regarding the author's body of work which found the results unreliable and raised serious data concerns; consequently, the claim that HES is comparable to albumin in safety is scientifically invalid and potentially based on fabricated data.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
2,Efficacy and safety of mycophenolate mofetil in patients with active moderate-to-severe Graves’ orbitopathy,"The retraction was issued due to errors in data and results, specifically linked to unattributed data overlap with another study confirmed to have serious analysis errors rendering its findings invalid; consequently, the reported superiority of MMF is based on unreliable data.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
3,Low-molecular weight heparin in patients with recurrent early miscarriages of unknown aetiology,"The retraction cites significant concerns regarding data integrity, specific errors in statistical analysis, and the inability of the authors to provide original data to verify the study's validity. Consequently, the statistical evidence supporting the claim that LMWH reduces miscarriage rates is considered unreliable and the conclusion is no longer supported by verifiable scientific evidence.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
4,Preoperative plasmapheresis in patients undergoing cardiac surgery procedures,"The retraction results from an official investigation at Justus Liebig University determining that the lead author, Dr. Boldt, manipulated and falsified data. Since the quantitative results regarding blood loss, platelet counts, and elastase levels are fabricated or compromised, the conclusion that the intervention is effective is scientifically invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
5,"Safety and efficacy of tramadol in the treatment of premature ejaculation: a double-blind, placebo-controlled, fixed-dose, randomized study","The retraction cites specific concerns regarding the integrity of the data, which fundamentally invalidates the reported statistical improvements in latency time and satisfaction scores, rendering the conclusion of efficacy unsupported and unreliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
6,Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,"The paper was retracted because the authors failed to obtain research ethics committee approval prior to conducting this interventional human trial, constituting a serious breach of the Declaration of Helsinki. Additionally, the retraction notice cites unresolved concerns regarding the validity of the reported data. The lack of ethical oversight and data integrity issues completely undermine the reliability of the clinical findings.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
7,"Vitamin D supplementation affects serum high-sensitivity C-reactive protein, insulin resistance, and biomarkers of oxidative stress in pregnant women","The retraction cites specific concerns regarding the validity of participant data. Since the conclusion depends entirely on the statistical significance of the comparison between the treatment and placebo groups derived from this data, the reported clinical benefits are unsubstantiated and unreliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
8,"Vitamin D supplementation affects the beck depression inventory, insulin resistance, and biomarkers of oxidative stress in patients with major depressive disorder: a randomized, controlled clinical trial","The retraction serves to invalidate the study's findings due to concerns regarding the validity of the participant data. Since the reported improvements in BDI scores and metabolic profiles depend entirely on the statistical analysis of this dataset, the conclusions can no longer be considered accurate or reliable.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
9,"Effects of vitamin D supplementation on glucose metabolism, lipid concentrations, inflammation, and oxidative stress in gestational diabetes: a double-blind randomized controlled clinical trial","The retraction is based on concerns regarding the validity of participant data. Since the conclusion depends entirely on the statistical analysis of these specific clinical measurements (glucose, insulin resistance, lipids) to prove efficacy, the lack of data integrity renders the claimed clinical benefits and statistical significance unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
10,"Magnesium supplementation affects metabolic status and pregnancy outcomes in gestational diabetes: a randomized, double-blind, placebo-controlled trial","The retraction is based on concerns regarding the validity of the participant data. Since the study's claims about metabolic improvements and reduced neonatal risks depend entirely on the statistical analysis of this specific dataset, the lack of data integrity invalidates the results and renders the conclusion unreliable.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
11,Long-term follow-up after sleeve gastrectomy versus Roux-en-Y gastric bypass versus one-anastomosis gastric bypass: a prospective randomized comparative study of weight loss and remission of comorbidities,"The retraction notice specifies that errors in the transcription of data to the study database have rendered the results and conclusions unreliable; consequently, the reported statistical superiority of OAGB in weight loss and comorbidity remission cannot be validated.",other_or_unclassified,other_or_unclassified,No,No,,other_or_unclassified
12,The influence of volume therapy and pentoxifylline infusion on circulating adhesion molecules in trauma patients,"The paper was retracted due to confirmed data falsification and manipulation, where an investigation revealed that mean values and standard deviations were altered to provide falsely positive results favoring HES compared to the original data; therefore, the conclusion is based on fabricated evidence and is invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
13,Influence of different intravascular volume therapies on platelet function in patients undergoing cardiopulmonary bypass,"The paper was retracted following an official investigation by the University of Giessen finding misconduct by the author. As the retraction stems from fundamental integrity issues, the comparative data regarding the safety and side effects of the tested fluid therapies are unreliable and invalid.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
14,The influence of different intravascular volume replacement regimens on renal function in the elderly,"The paper was retracted due to official findings of misconduct, specifically linked to the widespread fabrication of data and lack of ethical approval in studies conducted by Joachim Boldt. Since the underlying clinical data regarding patient randomization and renal marker measurements are considered fraudulent or unreliable, the conclusion regarding the safety of these regimens is unsupported and invalid.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
15,Clomiphene citrate or letrozole for ovulation induction in women with polycystic ovarian syndrome: a prospective randomized trial,"The retraction was issued due to significant errors in the reported data and the authors' inability to provide original data to verify the results following an institutional investigation; therefore, the statistical comparisons and the conclusion regarding the relative efficacy of the drugs are scientifically invalid.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
16,Letrozole versus combined metformin and clomiphene citrate for ovulation induction in clomiphene-resistant women with polycystic ovary syndrome: a randomized controlled trial,"The retraction cites significant unexplained duplication of data with a separate report involving a different study group, leading the committee to conclude they cannot vouch for the data's validity. As the underlying dataset is unreliable, the conclusion stating the equivalence of the two treatments cannot be trusted.",duplication_or_overlap,duplication_or_overlap,No,No,,duplication_or_overlap
17,Does the type of volume therapy influence endothelial-related coagulation in the critically ill?,"The paper was retracted following an official institutional investigation that identified misconduct and concerns regarding the data. As the underlying data is considered unreliable or fraudulent, the conclusion that HES offers physiological benefits over albumin in sepsis patients cannot be validated and should be disregarded.",misconduct_or_ethics,misconduct_or_ethics,No,No,,misconduct_or_ethics
18,Volume replacement with hydroxyethyl starch solution in children,"The retraction results from an official investigation finding misconduct and serious concerns regarding data integrity. Consequently, the clinical data supporting the safety and efficacy of LMW-HES in this study are considered unreliable, invalidating the authors' conclusions.",fabrication_or_manipulation,fabrication_or_manipulation,No,No,,fabrication_or_manipulation
